,amount,name,notes,recipe,units
4,['1'],finely chopped tomatoes,OR 150 grams tomatoes OR 3 medium size tomatoes,samosa chaat ,cup
5,['2'],ginger garlic paste,OR 1 inch ginger and 7 garlic cloves - crushed to paste in mortar pestle,samosa chaat ,teaspoons
6,['2 to 3'],"green chilies,",slit or sliced,samosa chaat ,
7,['¼'],turmeric powder,(haldi),samosa chaat ,teaspoon
8,['1'],red chili powder,(lal mirch powder),samosa chaat ,teaspoon
9,['1'],coriander powder,(dhania powder),samosa chaat ,teaspoon
10,['2.5'],water,- if chana takes less time to cook then add 2 cups water,samosa chaat ,cups
11,['1'],garam masala powder,or chana masala powder,samosa chaat ,teaspoon
12,['1'],dry mango powder,(amchur powder),samosa chaat ,teaspoon
13,['½'],black salt,,samosa chaat ,teaspoon
14,['½'],rock salt,or regular salt or add as per taste,samosa chaat ,teaspoon
15,['10 to 12'],small samosas,OR 5 to 6 large samosas,samosa chaat ,
16,['1'],small bowl of tamarind chutney,,samosa chaat ,
17,['1'],small bowl of red chili garlic chutney,,samosa chaat ,
18,['1'],small bowl of coriander mint chutney,,samosa chaat ,
19,,"sev as required,",OPTIONAL,samosa chaat ,
20,['½'],finely chopped onions,,samosa chaat ,cup
21,,chaat masala as required,,samosa chaat ,
22,['¼'],chopped coriander leaves,,samosa chaat ,cup
23,,lemon juice,as required,samosa chaat ,
24,,curd,(dahi or yogurt) - OPTIONAL,samosa chaat ,
25,,fried green chilies,- OPTIONAL,samosa chaat ,
0,['1'],dried white chickpeas,(chole or safed chana),chana sundal ,cup
1,['1'],black mustard seeds,(rai),chana sundal ,teaspoon
2,['1'],urad dal,(spilt skinned black gram),chana sundal ,teaspoon
3,['1'],asafoetida,(hing),chana sundal ,pinch
4,['2'],dry red chilies,(sookhi lal mirch),chana sundal ,
5,['10 to 12'],curry leaves,(kadi patta),chana sundal ,
6,['2 to 3'],fresh grated coconut,,chana sundal ,tablespoon
7,,salt as required,,chana sundal ,
0,['1'],whole wheat flour,(atta),whole wheat veg momo ,cup
1,['¼'],water + 3 tablespoons water,,whole wheat veg momo ,cup
2,['¼'],salt or add as required,,whole wheat veg momo ,teaspoon
3,['⅓'],finely chopped or grated carrot,(gajar),whole wheat veg momo ,cup
4,['⅓'],finely chopped or grated cabbage,(patta gobhi),whole wheat veg momo ,cup
5,['⅓'],finely chopped or grated capsicum,(shimla mirch or green bell pepper),whole wheat veg momo ,cup
6,['¼'],finely chopped or grated onions,or spring onions,whole wheat veg momo ,cup
7,['1'],finely chopped ginger,(adrak),whole wheat veg momo ,teaspoon
8,['⅛'],turmeric powder,(haldi),whole wheat veg momo ,teaspoon
9,['¼'],red chilli powder,(lal mirch powder),whole wheat veg momo ,teaspoon
10,['½'],coriander powder,(dhania powder),whole wheat veg momo ,teaspoon
11,['½'],cumin powder,(jeera powder),whole wheat veg momo ,teaspoon
12,['¼ to ½'],black pepper powder,(kali mirch powder),whole wheat veg momo ,teaspoon
13,,some oil for greasing steamer pan,,whole wheat veg momo ,
14,['2 to 2.5'],water,for steaming,whole wheat veg momo ,cups
0,['2'],sooji,(semolina or rava or rawa),suji halwa ,cups
1,['4'],water,or milk,suji halwa ,cups
2,,"a thick pinch of saffron,",approx 30-40 strands of saffron dissolved in 2 tablespoon water,suji halwa ,
3,['9 to 10'],ghee,,suji halwa ,tablespoon
4,['1.5'],sugar,or as required,suji halwa ,cups
5,['½'],cashew nuts,(kaju),suji halwa ,cup
6,['7 to 8'],cardamom pods,(hari elaichi) - crushed or 1 teaspoon cardamom powder (choti elaichi powder),suji halwa ,
0,['1'],curd,(dahi or yogurt) - fresh or sour,neer mor ,cup
1,['1'],water,or add as required,neer mor ,cup
2,['1'],roughly chopped ginger,(adrak),neer mor ,teaspoon
3,['1'],green chili,(hari mirch),neer mor ,
4,['6 to 7'],curry leaves,(kadi patta),neer mor ,
5,['2'],"coriander leaves,",finely chopped,neer mor ,tablespoons
6,,salt as required,,neer mor ,
7,['1'],oil,,neer mor ,teaspoon
8,['¼'],mustard seeds,(rai),neer mor ,teaspoon
9,['1'],asafoetida,(hing),neer mor ,small pinch
0,['250'],small purple or green brinjals,(baingan) or 12 to 14 brinjals,gutti vankaya kura ,grams
1,['½'],salt,added to water for soaking brinjals,gutti vankaya kura ,teaspoon
2,,enough water for soaking brinjals,,gutti vankaya kura ,
3,['1'],large onion,or ½ cup finely chopped onion,gutti vankaya kura ,
4,['½'],ginger-garlic paste,or 1 inch ginger + 6 to 7 medium garlic - crushed to a paste,gutti vankaya kura ,tablespoon
5,['1'],mustard seeds,(rai),gutti vankaya kura ,teaspoon
6,['½'],urad dal,,gutti vankaya kura ,teaspoon
7,['½'],cumin seeds,(jeera),gutti vankaya kura ,teaspoon
8,['1'],sprig curry leaves,(kadi patta),gutti vankaya kura ,
9,['2'],oil,,gutti vankaya kura ,tablespoon
10,['⅔'],water,,gutti vankaya kura ,cup
11,,salt as required,,gutti vankaya kura ,
12,['2 to 3'],chopped coriander leaves,(dhania patta),gutti vankaya kura ,tablespoon
13,['½'],tamarind,(imli),gutti vankaya kura ,tablespoon
14,['¼'],warm or hot water,,gutti vankaya kura ,cup
15,['¼'],peanuts,(moongphali),gutti vankaya kura ,cup
16,['2'],desiccated coconut,,gutti vankaya kura ,tablespoon
17,['1'],coriander seeds,(sabut dhania),gutti vankaya kura ,tablespoon
18,['½'],cumin seeds,(jeera),gutti vankaya kura ,teaspoon
19,['¼'],methi seeds,(fenugreek seeds),gutti vankaya kura ,teaspoon
20,['3 to 4'],dry red chilies,(sookhi lal mirch),gutti vankaya kura ,
21,['½'],turmeric powder,(haldi),gutti vankaya kura ,teaspoon
0,['3'],medium capsicum,Or 1 cup chopped capsicum (shimla mirch),aloo capsicum masala ,
1,['6'],small potatoes,Or 3 medium potaotes Or 1.25 to 1.5 cups small potato cubes,aloo capsicum masala ,
2,['10 to 12'],cashews,(kaju) - optional,aloo capsicum masala ,
3,['2 to 3'],oil,,aloo capsicum masala ,tablespoon
4,['1'],"medium onion,",finely chopped Or 1/3 cup finely chopped onion,aloo capsicum masala ,
5,['1'],ginger-garlic paste,(adrak lahsun ka paste) Or ½ inch ginger + 3 to 4 medium garlic - crushed in a mortar-pestle,aloo capsicum masala ,teaspoon
6,['1'],"large tomato,",finely chopped or minced Or ½ cup finely chopped tomatoes,aloo capsicum masala ,
7,['1'],green chili,(hari mirch) - chopped,aloo capsicum masala ,
8,['¼'],turmeric powder,(haldi),aloo capsicum masala ,teaspoon
9,['½'],red chili powder,(lal mirch powder),aloo capsicum masala ,teaspoon
10,['½'],coriander powder,(dhania powder),aloo capsicum masala ,teaspoon
11,['½ to ⅔'],water,,aloo capsicum masala ,cup
12,['¼ to ½'],garam masala powder,,aloo capsicum masala ,teaspoon
13,['1 to 2'],chopped coriander leaves for garnish,(dhania patta),aloo capsicum masala ,tablespoon
14,,salt as required,,aloo capsicum masala ,
0,['1'],medium gobi (cauliflower) or 500 grams or 3 cups chopped cauliflower,,gobi manchurian ,
1,,"hot water as required, ",for blanching,gobi manchurian ,
2,['¾'],whole wheat flour,,gobi manchurian ,cup
3,['3'],corn flour,(corn starch),gobi manchurian ,tablespoons
4,['1'],ginger-garlic paste,or 1 teaspoon minced ginger-garlic,gobi manchurian ,teaspoon
5,['½'],red chilli powder,,gobi manchurian ,teaspoon
6,['½'],black pepper powder,,gobi manchurian ,teaspoon
7,['1'],soy sauce,,gobi manchurian ,teaspoon 
8,,salt as required,,gobi manchurian ,
9,['¾'],water,or add as required,gobi manchurian ,cup
10,['6'],oil,,gobi manchurian ,tablespoons
11,['1'],corn flour ,(corn starch),gobi manchurian ,tablespoon
12,['2'],water,,gobi manchurian ,tablespoons 
13,['1'],finely chopped ginger,(adrak),gobi manchurian ,tablespoon
14,['1'],finely chopped garlic,(lahsun),gobi manchurian ,tablespoon
15,['½ to 1'],finely chopped green chilies,,gobi manchurian ,teaspoon
16,['½'],"chopped spring onions,","or 2 small to medium spring onions, chopped",gobi manchurian ,cup
17,['1'],"chopped celery,",OPTIONAL,gobi manchurian ,teaspoon
18,['2'],tomato ketchup,,gobi manchurian ,tablespoons 
19,['1'],soy sauce,or add as per your taste,gobi manchurian ,tablespoon
20,['½'],green chili sauce or red chili sauce,,gobi manchurian ,tablespoon
21,['½'],black pepper powder,(kali mirch powder),gobi manchurian ,teaspoon
22,['1.5'],water,or add as required,gobi manchurian ,cups
23,['½'],sugar,or add as required,gobi manchurian ,teaspoon
24,['1'],rice vinegar or regular white vinegar or mirin or rice wine,,gobi manchurian ,teaspoon
25,,salt as required,,gobi manchurian ,
26,['2'],chopped spring onions,,gobi manchurian ,tablespoons 
0,['7 to 8'],"kashmiri red chilies,",deseeded,mushroom vindaloo ,
1,['⅓'],"hot water,",for soaking chilies,mushroom vindaloo ,cup
2,['1'],coriander seeds,(sabut dhania),mushroom vindaloo ,tablespoon
3,['½'],cumin seeds,(jeera),mushroom vindaloo ,tablespoon
4,['4 to 5'],cloves,(lavang),mushroom vindaloo ,
5,['2'],"cinnamon,",each of 1 inch,mushroom vindaloo ,
6,['8 to 10'],black peppercorns/sabut kali mirch,,mushroom vindaloo ,
7,['¾'],piece of ginger,(adrak),mushroom vindaloo ,inch
8,['6 to 7'],small to medium sized garlic cloves,(lahsun),mushroom vindaloo ,
9,['½'],turmeric powder,(haldi),mushroom vindaloo ,teaspoon
10,['1.5'],malt vinegar or regular vinegar or balsamic vinegar or coconut vinegar,,mushroom vindaloo ,tablespoon
11,['½'],sugar,,mushroom vindaloo ,teaspoon
12,['5 to 6'],water for grinding or add as required,,mushroom vindaloo ,tablespoons
13,['200'],"button mushrooms,",rinsed and chopped,mushroom vindaloo ,grams
14,['1'],"medium sized potato,",cubed,mushroom vindaloo ,
15,['1'],"medium sized onions,",chopped,mushroom vindaloo ,
16,['1 to 2'],"green chilies,",chopped,mushroom vindaloo ,
17,['2 to 2.5'],oil,,mushroom vindaloo ,tablespoons
18,['1 to 2'],chopped coriander leaves,(dhania patta),mushroom vindaloo ,tablespoons
19,['1 to 1.5'],of water,(add more water if you want a thin curry),mushroom vindaloo ,cups
20,,salt ,as per requirement,mushroom vindaloo ,
0,['2'],tightly packed coriander leaves,(dhania patta) - chopped,green chutney ,cups
1,['2'],green chilies,"(hari mirch)- chopped, add more for a spicy chutney",green chutney ,
2,['½'],ginger,(adrak) - chopped (optional),green chutney ,inch
3,['¼ to ½'],lime juice,or add as per taste,green chutney ,teaspoon
4,['½'],cumin powder,(jeera powder),green chutney ,teaspoon
5,['½'],chaat masala,,green chutney ,teaspoon
6,['½'],salt,or as required,green chutney ,teaspoon
7,['1 to 2'],water,for grinding or add as required,green chutney ,teaspoon
0,['1.5'],all purpose flour,(maida),eggless tutti frutti cake ,cups
1,['5 to 6'],tutti frutti,- approx 100 grams of tutti frutti,eggless tutti frutti cake ,tablespoon
2,['¼'],cinnamon powder,(dalchini powder),eggless tutti frutti cake ,teaspoon
3,['1'],baking powder,,eggless tutti frutti cake ,teaspoon
4,,a pinch of salt,,eggless tutti frutti cake ,
5,['½'],water,,eggless tutti frutti cake ,cup
6,['½'],oil,,eggless tutti frutti cake ,cup
7,['¾'],organic unrefined cane sugar,Or regular sugar – add as required. * check notes,eggless tutti frutti cake ,cup
8,['3'],yogurt (curd or dahi) + 1 tablespoon water,(dairy or vegan),eggless tutti frutti cake ,tablespoon
9,['1'],apple cider vinegar,or white vinegar,eggless tutti frutti cake ,tablespoon
10,['½'],baking soda,,eggless tutti frutti cake ,teaspoon
11,['1'],vanilla extract,"or vanilla powder or half of a vanilla bean, scraped",eggless tutti frutti cake ,teaspoon
0,['1.5'],whole wheat flour,(atta),pav ,cup
1,['1.5'],all purpose flour,(maida),pav ,cup
2,['1'],water,,pav ,cup
3,['½'],dry active yeast,,pav ,tablespoon
4,['2'],oil,- i added sunflower oil,pav ,tablespoon
5,['1'],sugar,,pav ,tablespoon
6,['1'],salt,,pav ,teaspoon
0,['4'],medium size bananas,,eggless chocolate banana carrot cake ,
1,['1'],chopped carrots,,eggless chocolate banana carrot cake ,cup
2,['1.75'],all purpose flour,(maida),eggless chocolate banana carrot cake ,cup
3,['¾'],demerara sugar,or powdered sugar,eggless chocolate banana carrot cake ,cup
4,['½'],baking powder,,eggless chocolate banana carrot cake ,teaspoon
5,['1'],baking soda,,eggless chocolate banana carrot cake ,teaspoon
6,['¾'],cocoa powder,,eggless chocolate banana carrot cake ,cup
7,['1'],water or milk,,eggless chocolate banana carrot cake ,cup
8,['½'],oil or melted butter,,eggless chocolate banana carrot cake ,cup
9,['1'],vanilla extract,or ½ teaspoon vanilla powder,eggless chocolate banana carrot cake ,teaspoon
10,,a pinch of salt,,eggless chocolate banana carrot cake ,
11,['125'],dark chocolate,,eggless chocolate banana carrot cake ,grams
12,['½'],oil or butter,,eggless chocolate banana carrot cake ,cup
13,,some icing sugar or powdered sugar as required,(optional),eggless chocolate banana carrot cake ,
0,['¾'],black eyed beans,(lobia or chawli),"Lobia Curry Recipe, How to make Kerala Lobia Curry Recipe",cup
1,['1'],"onion,",chopped or sliced,"Lobia Curry Recipe, How to make Kerala Lobia Curry Recipe",
2,['2'],"tomatoes,",chopped,"Lobia Curry Recipe, How to make Kerala Lobia Curry Recipe",
3,['10-12'],fresh coconut slices,( i used dry coconut slices…… that to 2 slices as I do not like the coconut slices popping in the mouth. Just to give a little flavor i added 2 slices.),"Lobia Curry Recipe, How to make Kerala Lobia Curry Recipe",slices
4,['10-12'],curry leaves,(kadi patta),"Lobia Curry Recipe, How to make Kerala Lobia Curry Recipe",
5,['1'],ginger,"(adrak), finely chopped","Lobia Curry Recipe, How to make Kerala Lobia Curry Recipe",inch
6,['5-6'],"garlic flakes,",finely chopped,"Lobia Curry Recipe, How to make Kerala Lobia Curry Recipe",
7,['1'],green chili,"(hari mirch), chopped","Lobia Curry Recipe, How to make Kerala Lobia Curry Recipe",
8,['½'],mustard seeds,(rai),"Lobia Curry Recipe, How to make Kerala Lobia Curry Recipe",teaspoon
9,['1'],cumin seeds,(jeera),"Lobia Curry Recipe, How to make Kerala Lobia Curry Recipe",teaspoon
10,['1'],dried red chilli,(sookhi lal mirch),"Lobia Curry Recipe, How to make Kerala Lobia Curry Recipe",
11,['½'],cinnamon,(dalchini),"Lobia Curry Recipe, How to make Kerala Lobia Curry Recipe",inch
12,['4'],peppercorns,(sabut kali mirch),"Lobia Curry Recipe, How to make Kerala Lobia Curry Recipe",
13,['1'],small cardamom,(choti elaichi),"Lobia Curry Recipe, How to make Kerala Lobia Curry Recipe",
14,['2'],cloves,(lavang),"Lobia Curry Recipe, How to make Kerala Lobia Curry Recipe",
15,['1'],turmeric powder,(haldi),"Lobia Curry Recipe, How to make Kerala Lobia Curry Recipe",teaspoon
16,['2'],coriander powder,(dhania powder),"Lobia Curry Recipe, How to make Kerala Lobia Curry Recipe",teaspoon
17,['½'],red chili powder,(lal mirch powder),"Lobia Curry Recipe, How to make Kerala Lobia Curry Recipe",teaspoon
18,,asafoetida,"(hing), optional","Lobia Curry Recipe, How to make Kerala Lobia Curry Recipe",
19,['2'],coconut oil,,"Lobia Curry Recipe, How to make Kerala Lobia Curry Recipe",tablespoon
20,,salt as per taste,,"Lobia Curry Recipe, How to make Kerala Lobia Curry Recipe",
0,['½'],"grated coconut,",fresh or frozen,coconut curd chutney ,cup
1,['4'],roasted chana dal,(roasted husked bengal gram),coconut curd chutney ,tablespoon
2,['4'],curd,(yogurt or dahi),coconut curd chutney ,tablespoon
3,['½'],ginger,(adrak) - chopped,coconut curd chutney ,inch
4,['1 or 2'],green chilies,- depending on the heat in the chilies you can alter the quantity,coconut curd chutney ,
5,['5 to 6'],water,for grinding the chutney,coconut curd chutney ,tablespoon
6,,salt as required,,coconut curd chutney ,
7,['10 to 12'],curry leaves,(kadi patta),coconut curd chutney ,
8,['1'],mustard seeds,(rai),coconut curd chutney ,teaspoon
9,['1'],asafoetida,(hing),coconut curd chutney ,pinch
10,['1 to 2'],dry red chilies,(sookhi lal mirch),coconut curd chutney ,
11,['1'],oil,,coconut curd chutney ,tablespoon
0,['2'],maize flour,(corn meal),makki di roti ,cups
1,['½'],water,,makki di roti ,cup
2,['½'],ajwain,(carom seeds),makki di roti ,tsp
3,,ghee,as required for roasting,makki di roti ,
4,,salt,as required,makki di roti ,
0,['1 '],basmati rice ,or any long grained rice,singapore fried rice ,cup 
1,['4.5 '],water,,singapore fried rice ,cups 
2,['½ '],salt,,singapore fried rice ,teaspoon 
3,['3 '],oil,- sesame or peanut or sunflower oil,singapore fried rice ,tablespoons 
4,['½ '],finely chopped garlic,,singapore fried rice ,tablespoon 
5,['2 to 3 '],dry red chilies,- broken and seeds removed,singapore fried rice ,
6,['⅓'],chopped spring onions,,singapore fried rice ,cup 
7,['¾ '],finely chopped or shredded cabbage,,singapore fried rice ,cup
8,['½ '],finely chopped carrots ,or shredded carrots,singapore fried rice ,cup 
9,['⅓\t'],finely chopped capsicum ,or thinly sliced capsicum,singapore fried rice ,cup 
10,['¼ '],finely chopped french beans,,singapore fried rice ,cup 
11,['10 to 12 '],cashews,or 1 tablespoon roasted peanuts,singapore fried rice ,
12,['¼ '],turmeric powder,,singapore fried rice ,teaspoon 
13,['¼ '],kashmiri red chili powder ,or regular red chili powder,singapore fried rice ,teaspoon 
14,['¼ '],black pepper powder ,or white pepper powder,singapore fried rice ,teaspoon
15,['½ '],coriander powder,,singapore fried rice ,teaspoon 
16,['½ '],garam masala powder,,singapore fried rice ,teaspoon 
17,['½ '],soy sauce,(naturally fermented or naturally brewed),singapore fried rice ,tablespoon 
18,['½ '],red chili sauce ,or sriracha sauce,singapore fried rice ,tablespoon 
19,['2 '],tomato ketchup,,singapore fried rice ,tablespoons 
20,['½ '],rice vinegar ,or white vinegar or apple cider vinegar,singapore fried rice ,teaspoon 
21,,salt ,as required,singapore fried rice ,
22,['2 to 3 '],chopped spring onion greens,,singapore fried rice ,tablespoons 
23,,some chopped spring onion greens ,for garnish,singapore fried rice ,
0,['1.5'],basmati rice,OR about 300 grams of basmati rice,vegetable pulao ,cups
1,['¼'],chopped french beans,,vegetable pulao ,cup
2,['¼'],chopped tomatoes,OR 1 medium sized tomato,vegetable pulao ,cup
3,['⅓'],peas (matar),- fresh or frozen,vegetable pulao ,cup
4,['⅓'],chopped carrots,- chopped into cubes,vegetable pulao ,cup
5,['⅓'],chopped potatoes,- chopped into cubes,vegetable pulao ,cup
6,['⅓'],chopped medium cauliflower,(gobi florets),vegetable pulao ,cup
7,['⅓'],chopped capsicum,(bell pepper or shimla mirch) - chopped into cubes,vegetable pulao ,cup
8,['¼ to ⅓'],sliced or chopped mushrooms,,vegetable pulao ,cup
